text,label
The system must support multi-language (i18n).,NFR
The system must comply with GDPR.,NFR
The user interface allows parents to rate the tutor using a secure form.,FR
Section 755 ,Unknown
Introduction 892 ,Unknown
The platform must enable administrators to submit feedback within the dashboard.,FR
The API shall allow staff to filter results by price manually.,FR
Section 730 .,Unknown
Figure 383 ,Unknown
Response time should have comprehensive documentation.,NFR
Response time must allow recovery within 5 minutes.,NFR
Section 252 ...,Unknown
Introduction 821 ,Unknown
Figure 402 ...,Unknown
A: 141 .,Unknown
Table of Contents 403 ,Unknown
References 353 ,Unknown
Availability must be accessible to screen readers (WCAG 2.1).,NFR
Security protocols must be accessible to screen readers (WCAG 2.1).,NFR
The admin module shall permit doctors to mute the microphone within the dashboard.,FR
References 227 ,Unknown
Figure 459 ,Unknown
Source: 859 ...,Unknown
The API must enable drivers to record the session automatically.,FR
Abstract 805 ...,Unknown
Section 641 ,Unknown
Chapter 2 .,Unknown
References 208 .,Unknown
Q: 264 ...,Unknown
The application must enable moderators to search for courses within the dashboard.,FR
The database should have comprehensive documentation.,NFR
A: 683 ,Unknown
The mobile application shall auto-backup every 24 hours.,NFR
Chapter 873 ...,Unknown
The application shall allow patients to record the session using the mobile app.,FR
The mobile application must support multi-language (i18n).,NFR
The login page must be accessible to screen readers (WCAG 2.1).,NFR
The system is designed to let patients to cancel an appointment in real-time.,FR
Transaction processing must be modular and maintainable.,NFR
The API automatically doctors to receive notifications via SMS.,FR
The platform automatically staff to track GPS location before session starts.,FR
The mobile app shall allow patients to view transaction history using the mobile app.,FR
Chapter 701 ...,Unknown
Transaction processing shall be compatible with Chrome and Edge.,NFR
The backend server shall allow doctors to export data to PDF using 2FA.,FR
Appendix 517 .,Unknown
Table of Contents 398 .,Unknown
The application must enable administrators to update profile details via email.,FR
References 47 .,Unknown
The API must enable tutors to submit feedback in real-time.,FR
Chapter 194 ...,Unknown
Q: 750 .,Unknown
A: 379 .,Unknown
The API will support patients to manage content securely.,FR
The smart watch will support students to register an account using 2FA.,FR
Abstract 619 ...,Unknown
Table of Contents 901 ...,Unknown
Introduction 34 ,Unknown
Chapter 837 ...,Unknown
Table of Contents 490 ...,Unknown
A: 72 .,Unknown
Section 808 .,Unknown
Section 232 ,Unknown
The network connection must support multi-language (i18n).,NFR
"The network connection shall support 10,000 concurrent users.",NFR
Security protocols must be protected against SQL injection.,NFR
Table of Contents 229 ,Unknown
Appendix 256 ...,Unknown
Figure 359 ,Unknown
Introduction 102 ,Unknown
The API allows doctors to receive notifications using 2FA.,FR
Introduction 626 ...,Unknown
The mobile application should have comprehensive documentation.,NFR
Note: 847 .,Unknown
Transaction processing must support multi-language (i18n).,NFR
The platform should provide customers to download materials before session starts.,FR
Abstract 471 .,Unknown
All user data must allow recovery within 5 minutes.,NFR
The server shall operate on low-bandwidth networks.,NFR
Availability must be encrypted using AES-256.,NFR
Source: 229 ...,Unknown
Transaction processing should have comprehensive documentation.,NFR
The user interface is designed to let administrators to share the screen via SMS.,FR
The database must allow recovery within 5 minutes.,NFR
Transaction processing must be accessible to screen readers (WCAG 2.1).,NFR
The user interface automatically patients to search for courses using the mobile app.,FR
Chapter 890 ...,Unknown
Transaction processing must respond within 2 seconds.,NFR
Appendix 245 .,Unknown
Data backups must be encrypted using AES-256.,NFR
Figure 940 ,Unknown
Figure 630 ,Unknown
The server should have comprehensive documentation.,NFR
Q: 970 .,Unknown
Note: 260 ...,Unknown
The mobile application must be encrypted using AES-256.,NFR
Abstract 373 .,Unknown
Q: 730 ,Unknown
Introduction 23 .,Unknown
The API will support users to import user lists without refreshing the page.,FR
Transaction processing shall use HTTPS for all communications.,NFR
Chapter 20 .,Unknown
Note: 162 ,Unknown
Section 796 ...,Unknown
Table of Contents 560 .,Unknown
Chapter 187 .,Unknown
Appendix 341 ...,Unknown
All user data must be modular and maintainable.,NFR
The mobile app shall permit staff to upload assignments before session starts.,FR
Figure 946 .,Unknown
The user interface must enable drivers to track GPS location using a secure form.,FR
Page 527 ...,Unknown
The API must enable administrators to mute the microphone before session starts.,FR
The user interface is designed to let moderators to share the screen via email.,FR
A: 276 ,Unknown
The system should provide doctors to calculate tax via email.,FR
The API must facilitate drivers to log in securely through the web portal.,FR
Page 279 ,Unknown
"The API response shall support 10,000 concurrent users.",NFR
All user data must be encrypted using AES-256.,NFR
Page 513 ...,Unknown
Password storage shall use HTTPS for all communications.,NFR
Introduction 130 ...,Unknown
The system must be accessible to screen readers (WCAG 2.1).,NFR
Table of Contents 998 ...,Unknown
The API will support drivers to receive notifications in real-time.,FR
The application should provide users to receive notifications within the dashboard.,FR
Security protocols shall have an uptime of 99.9%.,NFR
Chapter 374 ...,Unknown
Figure 984 ,Unknown
Section 659 ,Unknown
Note: 813 ,Unknown
Section 501 ...,Unknown
Chapter 295 ...,Unknown
Abstract 11 ,Unknown
References 16 .,Unknown
All user data must support multi-language (i18n).,NFR
The server must be protected against SQL injection.,NFR
Page 120 ...,Unknown
The API enables parents to export data to PDF using 2FA.,FR
Transaction processing must be protected against SQL injection.,NFR
The platform must facilitate moderators to upload assignments after validation.,FR
Source: 821 ...,Unknown
Introduction 171 .,Unknown
The smart watch shall permit moderators to record the session within the dashboard.,FR
All user data must respond within 2 seconds.,NFR
Abstract 350 ,Unknown
The application shall permit tutors to schedule a meeting using the mobile app.,FR
Appendix 935 ,Unknown
The application is designed to let users to book a session using a secure form.,FR
Appendix 349 .,Unknown
Data backups must failover gracefully.,NFR
Availability shall operate on low-bandwidth networks.,NFR
Chapter 213 ...,Unknown
The network connection shall auto-backup every 24 hours.,NFR
Table of Contents 62 ,Unknown
Security protocols must be protected against SQL injection.,NFR
The mobile app must facilitate customers to register an account using a secure form.,FR
The application is designed to let guests to receive notifications before session starts.,FR
Table of Contents 121 ,Unknown
The API automatically drivers to cancel an appointment within the dashboard.,FR
All user data must be encrypted using AES-256.,NFR
Source: 285 ,Unknown
The user interface should provide doctors to register an account in real-time.,FR
The smart watch is designed to let staff to chat with support within the dashboard.,FR
Response time shall adhere to ISO 27001.,NFR
Chapter 632 ...,Unknown
The admin module is designed to let students to book a session using 2FA.,FR
A: 662 ...,Unknown
The system must enable moderators to calculate tax before session starts.,FR
The backend server allows guests to receive notifications via email.,FR
The mobile app enables clients to filter results by price securely.,FR
Data backups shall be compatible with Chrome and Edge.,NFR
References 710 ...,Unknown
The database must failover gracefully.,NFR
Appendix 756 .,Unknown
Figure 544 ...,Unknown
Abstract 314 ...,Unknown
The admin module is designed to let users to download materials using a secure form.,FR
Figure 5 ...,Unknown
The mobile app must enable administrators to cancel an appointment using 2FA.,FR
Transaction processing must support multi-language (i18n).,NFR
The smart watch must enable administrators to log in securely after validation.,FR
Response time must be encrypted using AES-256.,NFR
Table of Contents 929 .,Unknown
Appendix 404 ,Unknown
The user interface will support moderators to generate invoices automatically.,FR
The network connection must allow recovery within 5 minutes.,NFR
The user interface must facilitate drivers to download materials manually.,FR
"The server shall support 10,000 concurrent users.",NFR
Page 142 ,Unknown
The platform automatically patients to search for courses through the web portal.,FR
Page 177 ...,Unknown
Chapter 312 ...,Unknown
The database must be accessible to screen readers (WCAG 2.1).,NFR
Abstract 748 ,Unknown
Source: 538 ...,Unknown
The mobile app allows patients to scan QR codes via email.,FR
The database must support multi-language (i18n).,NFR
The server should have comprehensive documentation.,NFR
The application must facilitate patients to chat with support after validation.,FR
Q: 676 ,Unknown
The application must facilitate drivers to reset their password before session starts.,FR
Section 588 .,Unknown
Source: 740 ,Unknown
The API response shall be compatible with Chrome and Edge.,NFR
Introduction 137 ,Unknown
The smart watch must facilitate clients to export data to PDF using the mobile app.,FR
The system should have comprehensive documentation.,NFR
References 709 ...,Unknown
The mobile application shall auto-backup every 24 hours.,NFR
The system must failover gracefully.,NFR
The login page shall have an uptime of 99.9%.,NFR
Section 101 .,Unknown
Table of Contents 905 ,Unknown
The backend server shall allow students to manage content automatically.,FR
Section 474 ,Unknown
Availability shall auto-backup every 24 hours.,NFR
The platform should provide administrators to export data to PDF securely.,FR
Page 904 ,Unknown
A: 816 ...,Unknown
Q: 235 .,Unknown
The user interface will support doctors to export data to PDF using 2FA.,FR
The API is designed to let staff to upload assignments using the mobile app.,FR
Availability must support multi-language (i18n).,NFR
The API shall permit staff to calculate tax via email.,FR
Section 383 ,Unknown
The system must be protected against SQL injection.,NFR
Section 337 .,Unknown
Section 328 ...,Unknown
Page 501 ,Unknown
Note: 536 ,Unknown
The platform shall permit students to update profile details automatically.,FR
"The mobile application shall support 10,000 concurrent users.",NFR
Password storage must allow recovery within 5 minutes.,NFR
"All user data shall support 10,000 concurrent users.",NFR
Chapter 939 ,Unknown
Introduction 262 ...,Unknown
The system must enable students to submit feedback using 2FA.,FR
All user data must be accessible to screen readers (WCAG 2.1).,NFR
Data backups must failover gracefully.,NFR
A: 847 ,Unknown
Abstract 212 ...,Unknown
Chapter 115 ...,Unknown
The backend server is designed to let parents to log in securely before session starts.,FR
"Availability shall support 10,000 concurrent users.",NFR
The system should provide drivers to manage content using a secure form.,FR
Table of Contents 218 ,Unknown
The mobile app automatically doctors to import user lists before session starts.,FR
Page 275 ,Unknown
The database must comply with GDPR.,NFR
The login page must comply with GDPR.,NFR
Source: 591 .,Unknown
The user interface shall permit users to mute the microphone within the dashboard.,FR
The login page must be encrypted using AES-256.,NFR
The API response shall auto-backup every 24 hours.,NFR
The user interface shall permit students to book a session using 2FA.,FR
The platform shall permit moderators to download materials before session starts.,FR
Table of Contents 894 ,Unknown
Abstract 228 ,Unknown
Page 922 ,Unknown
The backend server enables drivers to generate invoices using the mobile app.,FR
The login page must support multi-language (i18n).,NFR
The API enables tutors to import user lists via email.,FR
The platform enables clients to submit feedback using a secure form.,FR
Abstract 804 ,Unknown
Source: 674 ,Unknown
The user interface shall permit patients to update profile details securely.,FR
The platform must enable moderators to log in securely using the mobile app.,FR
The mobile app allows patients to mute the microphone before session starts.,FR
Appendix 996 .,Unknown
Note: 817 ,Unknown
Figure 616 .,Unknown
Introduction 689 ,Unknown
The application enables moderators to register an account using 2FA.,FR
Note: 299 ,Unknown
The database must allow recovery within 5 minutes.,NFR
Appendix 326 ,Unknown
The mobile app should provide students to rate the tutor securely.,FR
The server shall operate on low-bandwidth networks.,NFR
Figure 142 ...,Unknown
Source: 176 ,Unknown
The mobile app shall allow moderators to schedule a meeting automatically.,FR
Source: 757 ...,Unknown
Introduction 835 ...,Unknown
The backend server is designed to let customers to mute the microphone manually.,FR
